datetime,open,high,low,close,volume
2022-10-08 09:00:00,43.3,43.9,43.1,43.4,98194237.39492182
2022-10-09 09:00:00,43.4,43.4,42.9,43.3,51902822.75949394
2022-10-10 09:00:00,43.2,43.6,41.3,41.4,81947379.72874618
2022-10-11 09:00:00,41.5,41.5,40.1,40.6,50148542.88319233
2022-10-12 09:00:00,40.6,40.9,39.7,40.0,38963293.10946402
2022-10-13 09:00:00,40.0,40.2,36.1,39.2,116221016.8050626
2022-10-14 09:00:00,39.2,40.4,38.1,39.1,59411258.39687078
2022-10-15 09:00:00,39.0,39.7,38.6,39.1,28424073.0859646
2022-10-16 09:00:00,39.0,40.2,39.0,39.4,34720137.93478429
2022-10-17 09:00:00,39.4,40.7,38.8,40.6,61181972.02518977
2022-10-18 09:00:00,40.6,51.1,40.3,47.5,4343092115.415321
2022-10-19 09:00:00,47.4,47.9,42.7,43.0,1146250056.053938
2022-10-20 09:00:00,43.0,44.5,41.4,41.9,285186648.28473675
2022-10-21 09:00:00,41.8,41.9,39.3,40.9,116443281.98573528
2022-10-22 09:00:00,40.9,42.3,40.2,41.3,180019931.65480778
2022-10-23 09:00:00,41.3,41.5,40.0,41.2,91831445.6289754
2022-10-24 09:00:00,41.1,41.2,40.0,40.3,76448961.98052447
2022-10-25 09:00:00,40.3,41.2,39.8,40.5,103968006.9692478
2022-10-26 09:00:00,40.4,41.6,40.3,41.0,98457385.31577528
2022-10-27 09:00:00,41.0,42.0,40.3,40.6,102708466.5360845
2022-10-28 09:00:00,40.4,41.2,39.8,41.0,79266433.7529942
2022-10-29 09:00:00,41.0,42.5,41.0,41.6,193588884.7374086
2022-10-30 09:00:00,41.6,42.6,40.9,41.3,107245641.69450092
2022-10-31 09:00:00,41.3,42.2,39.9,41.3,178603801.21334207
2022-11-01 09:00:00,41.2,44.9,41.1,41.7,582755796.8568599
2022-11-02 09:00:00,41.7,42.6,39.9,40.5,315424476.1508163
2022-11-03 09:00:00,40.5,44.8,40.4,42.1,610334033.8423516
2022-11-04 09:00:00,42.2,44.5,42.0,44.5,281147692.68831336
2022-11-05 09:00:00,44.5,45.0,43.2,43.7,121610446.84689052
2022-11-06 09:00:00,43.7,44.0,41.3,41.5,84382944.60361914
2022-11-07 09:00:00,41.5,42.5,40.4,41.1,114213687.6011435
2022-11-08 09:00:00,41.0,41.3,33.0,35.3,245678695.9737229
2022-11-09 09:00:00,35.4,36.0,27.1,28.2,143543132.54820487
2022-11-10 09:00:00,28.1,32.7,27.8,32.5,151504205.27144656
2022-11-11 09:00:00,32.5,33.2,29.0,30.3,134224845.20982403
2022-11-12 09:00:00,30.3,30.3,28.2,28.8,69541851.29277588
2022-11-13 09:00:00,28.7,36.9,27.0,28.0,925724479.4315984
2022-11-14 09:00:00,28.0,32.2,26.1,29.1,1075489858.833955
2022-11-15 09:00:00,29.1,30.2,28.2,29.6,206469771.55894804
2022-11-16 09:00:00,29.6,30.0,28.5,29.3,114131718.09336124
2022-11-17 09:00:00,29.3,29.4,28.2,28.9,43879161.20974067
2022-11-18 09:00:00,28.9,29.6,28.6,29.5,94675988.07318635
2022-11-19 09:00:00,29.4,31.6,29.2,30.6,341884380.15478534
2022-11-20 09:00:00,30.6,32.4,28.3,28.8,365880049.0988084
2022-11-21 09:00:00,28.8,31.0,27.5,29.3,423315941.6008472
2022-11-22 09:00:00,29.5,30.8,28.4,30.4,230641851.90962023
2022-11-23 09:00:00,30.3,31.7,29.7,31.6,217806189.85517064
2022-11-24 09:00:00,31.6,36.7,30.6,32.3,1646629721.270435
2022-11-25 09:00:00,32.1,32.3,30.4,31.2,142818552.43919528
2022-11-26 09:00:00,31.2,31.7,30.7,31.3,96046100.20528162
2022-11-27 09:00:00,31.3,31.3,30.4,30.7,108424084.57873742
2022-11-28 09:00:00,30.6,30.8,29.2,29.7,89357920.16275465
2022-11-29 09:00:00,29.7,30.3,29.4,29.9,53014363.33678238
2022-11-30 09:00:00,29.9,31.1,29.8,31.0,104962577.56216456
2022-12-01 09:00:00,30.9,31.0,29.9,30.2,82030132.72540487
2022-12-02 09:00:00,30.3,30.4,28.1,29.5,306900574.4473081
2022-12-03 09:00:00,29.5,29.7,28.9,29.1,39932417.36489804
2022-12-04 09:00:00,29.1,29.4,28.6,29.0,48216065.51622242
2022-12-05 09:00:00,29.0,29.2,28.5,28.8,50899688.66051463
2022-12-06 09:00:00,28.8,29.2,28.6,28.9,51642606.700513
2022-12-07 09:00:00,28.9,29.1,27.4,27.7,93941102.84830064
2022-12-08 09:00:00,27.8,28.2,27.6,28.2,49211379.06381394
2022-12-09 09:00:00,28.0,28.3,27.8,28.1,59035535.07255235
2022-12-10 09:00:00,28.0,29.1,27.9,28.7,129244710.62333135
2022-12-11 09:00:00,28.7,29.0,27.9,28.1,102306418.27081089
2022-12-12 09:00:00,28.1,28.2,26.9,27.4,98118177.21806888
2022-12-13 09:00:00,27.4,28.0,26.0,27.6,148052563.41949004
2022-12-14 09:00:00,27.5,28.1,27.0,27.3,103402758.63774765
2022-12-15 09:00:00,27.4,27.5,26.6,26.9,42215493.82615027
2022-12-16 09:00:00,26.9,27.0,24.1,24.6,72124060.79352441
2022-12-17 09:00:00,24.6,24.7,23.0,24.4,60697620.80715252
2022-12-18 09:00:00,24.4,24.4,23.9,24.1,29980046.01107195
2022-12-19 09:00:00,24.2,24.4,21.8,22.3,63408704.90532165
2022-12-20 09:00:00,22.2,23.5,22.1,23.4,65121704.96668054
2022-12-21 09:00:00,23.4,23.4,22.5,22.9,95466284.04723288
2022-12-22 09:00:00,22.9,23.0,22.2,22.8,56390557.65752159
2022-12-23 09:00:00,22.8,23.3,22.6,23.1,47857678.23792942
2022-12-24 09:00:00,23.1,23.1,22.7,22.9,34759928.10480769
2022-12-25 09:00:00,22.9,23.6,22.1,22.4,78355756.83591367
2022-12-26 09:00:00,22.3,22.4,21.4,21.7,47044981.40658976
2022-12-27 09:00:00,21.7,22.5,20.7,21.1,108010436.17506224
2022-12-28 09:00:00,21.1,21.2,19.3,19.5,89898030.34730265
2022-12-29 09:00:00,19.4,19.6,18.7,19.1,89807350.57765041
2022-12-30 09:00:00,19.1,19.9,18.5,19.5,132865993.11716308
2022-12-31 09:00:00,19.4,19.7,19.2,19.6,43448204.61798718
2023-01-01 09:00:00,19.6,20.1,19.4,19.8,31785935.09658183
2023-01-02 09:00:00,19.9,20.6,19.5,20.2,72085357.70382234
2023-01-03 09:00:00,20.2,20.5,20.1,20.2,27124728.42334318
2023-01-04 09:00:00,20.2,21.3,20.2,20.9,80862239.56005217
2023-01-05 09:00:00,20.9,21.3,20.5,20.7,63826443.80861638
2023-01-06 09:00:00,20.7,21.5,19.9,21.0,71757393.89553224
