datetime,open,high,low,close,volume
2022-09-06 09:00:00,7.78,8.24,7.52,7.59,3250156835.165848
2022-09-07 09:00:00,7.59,7.69,7.25,7.64,1052991715.2541848
2022-09-08 09:00:00,7.63,7.89,7.47,7.83,813912715.511345
2022-09-09 09:00:00,7.83,8.1,7.77,8.0,814663710.6579074
2022-09-10 09:00:00,8.0,8.02,7.77,7.93,420991209.6827878
2022-09-11 09:00:00,7.93,8.22,7.79,8.11,1286009453.0231478
2022-09-12 09:00:00,8.11,8.15,7.87,8.03,753303367.8456638
2022-09-13 09:00:00,8.02,8.02,7.3,7.39,867602304.0548204
2022-09-14 09:00:00,7.41,7.76,7.32,7.52,779175963.88171
2022-09-15 09:00:00,7.52,7.56,7.27,7.35,343375171.3316123
2022-09-16 09:00:00,7.35,7.37,7.25,7.33,224884626.77218515
2022-09-17 09:00:00,7.32,7.47,7.29,7.42,308185746.0768495
2022-09-18 09:00:00,7.42,7.56,6.81,6.87,616776730.3403444
2022-09-19 09:00:00,6.87,6.95,6.4,6.88,413567465.1283369
2022-09-20 09:00:00,6.87,6.88,6.53,6.66,296603992.24154645
2022-09-21 09:00:00,6.66,6.93,6.5,6.59,432107585.06438655
2022-09-22 09:00:00,6.59,7.01,6.57,6.85,1679793299.785871
2022-09-23 09:00:00,6.84,7.24,6.78,6.91,1301985154.8592849
2022-09-24 09:00:00,6.91,7.24,6.9,6.97,1105874391.8311243
2022-09-25 09:00:00,6.93,7.05,6.81,6.85,260989827.5058013
2022-09-26 09:00:00,6.84,6.85,6.51,6.72,328451970.7923782
2022-09-27 09:00:00,6.72,6.79,6.53,6.69,309145282.08305526
2022-09-28 09:00:00,6.67,6.7,6.5,6.61,179418173.670757
2022-09-29 09:00:00,6.61,6.73,6.49,6.59,220782199.5798573
2022-09-30 09:00:00,6.59,6.73,6.55,6.61,416141982.015745
2022-10-01 09:00:00,6.61,6.63,6.54,6.58,147645524.66884962
2022-10-02 09:00:00,6.58,6.6,6.48,6.5,110131669.50590092
2022-10-03 09:00:00,6.51,6.56,6.45,6.53,111140546.45165998
2022-10-04 09:00:00,6.55,6.62,6.51,6.58,213178929.25962508
2022-10-05 09:00:00,6.6,6.6,6.49,6.52,143919121.22888222
2022-10-06 09:00:00,6.53,6.64,6.5,6.55,141318501.40804893
2022-10-07 09:00:00,6.55,6.6,6.47,6.55,207172966.2967436
2022-10-08 09:00:00,6.55,6.75,6.5,6.71,385623810.573952
2022-10-09 09:00:00,6.72,6.93,6.58,6.65,792138211.0125058
2022-10-10 09:00:00,6.65,6.97,6.46,6.46,712038809.6149935
2022-10-11 09:00:00,6.47,6.47,6.03,6.24,348500254.0935536
2022-10-12 09:00:00,6.23,6.6,6.13,6.2,710021024.7750113
2022-10-13 09:00:00,6.2,6.22,5.62,6.03,531967596.0953226
2022-10-14 09:00:00,6.01,6.13,5.97,6.08,170729042.98648432
2022-10-15 09:00:00,6.08,6.39,5.97,6.07,605546941.2722286
