datetime,open,high,low,close,volume
2022-09-06 09:00:00,459.0,472.0,447.0,450.0,319923615.5725074
2022-09-07 09:00:00,450.0,470.0,442.0,467.0,223616714.33594057
2022-09-08 09:00:00,467.0,478.0,459.0,473.0,215724934.74480203
2022-09-09 09:00:00,473.0,494.0,472.0,490.0,338592094.15250427
2022-09-10 09:00:00,490.0,498.0,484.0,491.0,184476318.1312956
2022-09-11 09:00:00,491.0,495.0,484.0,489.0,130019235.82527876
2022-09-12 09:00:00,490.0,493.0,482.0,492.0,222143633.7729408
2022-09-13 09:00:00,492.0,493.0,465.0,467.0,346634459.9277193
2022-09-14 09:00:00,468.0,483.0,466.0,479.0,199272857.917084
2022-09-15 09:00:00,479.0,480.0,461.0,464.0,239953182.1552127
2022-09-16 09:00:00,464.0,504.0,456.0,500.0,324413816.0655519
2022-09-17 09:00:00,500.0,534.0,488.0,526.0,532291371.43826497
2022-09-18 09:00:00,526.0,559.0,503.0,506.0,813653077.3339077
2022-09-19 09:00:00,506.0,554.0,483.0,542.0,850690824.5919206
2022-09-20 09:00:00,542.0,595.0,524.0,585.0,1139343437.7244024
2022-09-21 09:00:00,584.0,613.0,545.0,565.0,974819584.9220116
2022-09-22 09:00:00,565.0,701.0,565.0,691.0,1455891936.9815476
2022-09-23 09:00:00,690.0,795.0,659.0,724.0,2749354530.1784167
2022-09-24 09:00:00,724.0,744.0,678.0,702.0,985409165.1795856
2022-09-25 09:00:00,702.0,746.0,686.0,708.0,1056394184.338291
2022-09-26 09:00:00,708.0,721.0,661.0,672.0,739036205.9018629
2022-09-27 09:00:00,672.0,695.0,631.0,644.0,736682450.2668583
2022-09-28 09:00:00,643.0,656.0,606.0,647.0,720227465.3160803
2022-09-29 09:00:00,647.0,727.0,618.0,697.0,880203482.1475946
2022-09-30 09:00:00,697.0,711.0,676.0,690.0,741322565.831493
2022-10-01 09:00:00,689.0,702.0,675.0,687.0,279168694.53238297
2022-10-02 09:00:00,685.0,691.0,650.0,652.0,324427329.63741934
2022-10-03 09:00:00,653.0,675.0,637.0,665.0,362612184.2266886
2022-10-04 09:00:00,665.0,693.0,653.0,683.0,437418694.9987021
2022-10-05 09:00:00,683.0,713.0,675.0,697.0,565229510.1586027
2022-10-06 09:00:00,696.0,714.0,695.0,701.0,356459815.15722334
2022-10-07 09:00:00,701.0,752.0,688.0,735.0,603321827.9932652
2022-10-08 09:00:00,735.0,755.0,732.0,738.0,333776254.72889745
2022-10-09 09:00:00,738.0,772.0,722.0,757.0,332825062.0268243
2022-10-10 09:00:00,757.0,767.0,707.0,708.0,431001562.1685957
2022-10-11 09:00:00,708.0,720.0,686.0,698.0,483872044.21604055
2022-10-12 09:00:00,698.0,710.0,693.0,700.0,228125362.29708087
2022-10-13 09:00:00,699.0,705.0,638.0,687.0,824790166.3198235
2022-10-14 09:00:00,687.0,732.0,685.0,704.0,566979139.6023444
2022-10-15 09:00:00,704.0,707.0,691.0,696.0,148745509.4379561
2022-10-16 09:00:00,696.0,702.0,677.0,685.0,158345090.4560143
2022-10-17 09:00:00,685.0,692.0,664.0,688.0,312159613.1318152
2022-10-18 09:00:00,687.0,694.0,661.0,669.0,227492348.8598006
2022-10-19 09:00:00,669.0,671.0,650.0,652.0,266452602.7692864
2022-10-20 09:00:00,651.0,669.0,625.0,644.0,326795312.0404147
2022-10-21 09:00:00,644.0,665.0,632.0,664.0,261710912.78220776
2022-10-22 09:00:00,665.0,676.0,657.0,669.0,161379564.63419098
2022-10-23 09:00:00,668.0,675.0,651.0,671.0,171957325.11975124
2022-10-24 09:00:00,671.0,677.0,645.0,653.0,178109516.7470979
